meanI,meanJ,taoI,taoJ,kontras,Energy,Homogenitas,Correlation,Class
2.560631467,2.567092098,23.08093561,23.10971832,6.142705131,0.975683162,0.999758884,0.994242684,1
30.20213181,30.20213181,67.75412089,67.75412089,33.03424902,0.693566418,0.979081509,0.996401985,1
54.44649456,54.46089595,90.01704137,90.02530319,45.45206342,0.535434513,0.987106352,0.997195654,1
22.18773381,22.17681292,57.78867918,57.77314664,15.26778893,0.752755072,0.991876272,0.997713522,1
34.33516653,34.33283372,71.27000186,71.26777435,41.21632661,0.655941315,0.976278992,0.99594268,1
22.73457789,22.74658495,61.56665896,61.58330679,20.15205051,0.769958957,0.992810735,0.99734251,1
29.66028059,29.65204634,64.99006984,64.9817971,41.21461855,0.682808402,0.989112459,0.995120435,1
10.07233185,10.07351499,39.2947068,39.29681698,22.7597731,0.878875725,0.993514795,0.992630358,1
23.82335827,23.81397141,64.17807276,64.16870362,61.36622294,0.770248739,0.995112635,0.992549452,1
21.65104929,21.65104929,63.43747766,63.43747766,68.38688904,0.800580422,0.995546244,0.991503285,1
14.76617128,14.77800252,49.12293873,49.14456224,32.54776055,0.83608251,0.991856587,0.993259018,1
14.27780682,14.26389165,53.03175831,53.00599459,26.91175438,0.868333176,0.997109946,0.995213289,1
10.44393889,10.4356675,41.87721271,41.85916905,29.27194982,0.884021798,0.994757521,0.99165075,1
21.83833323,21.82316429,62.22297832,62.20013296,29.46020016,0.784520387,0.992398832,0.996194143,1
33.6498916,33.6498916,70.25745666,70.25745666,38.51522366,0.65509195,0.985906699,0.996098626,1
15.62993391,15.62226171,50.39967963,50.38554715,23.6811485,0.82790271,0.992306187,0.995337334,1
9.476526097,9.489632022,43.70041121,43.72970792,30.70618809,0.91141347,0.998162298,0.991966233,1
31.23819688,31.24921501,67.36321277,67.3742324,19.44335913,0.673024197,0.988161081,0.997858001,1
51.53112953,51.53050644,79.31491527,79.31446105,45.22611279,0.491455452,0.975566215,0.996405388,1
65.40659118,65.41663704,86.22817545,86.23297576,52.03499199,0.399591085,0.972427412,0.996501017,1
43.96966534,43.97671772,74.51761444,74.52291514,32.25907261,0.542265244,0.979703986,0.997095495,1
